block_id,image,rectified,vis,class_id,format_len,strategy,angle_est,error
n00023,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00023.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00023_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00023_poly.jpg,86,4,Hough,0.540,
n00024,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00024.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00024_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00024_poly.jpg,86,4,Hough,-6.416,
n00026,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00026.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00026_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00026_poly.jpg,86,4,Hough,6.718,
n00027,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00027.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00027_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00027_poly.jpg,86,4,Hough,1.986,
n00028,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00028.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00028_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00028_poly.jpg,86,4,Hough,-3.768,
n00029,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00029.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00029_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00029_poly.jpg,86,4,Hough,-1.469,
n00030,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00030.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00030_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00030_poly.jpg,86,4,Hough,-1.776,
n00031,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00031.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00031_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00031_poly.jpg,86,4,Hough,-4.584,
n00032,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00032.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00032_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00032_poly.jpg,86,4,Hough,-2.910,
n00033,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00033.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00033_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00033_poly.jpg,86,4,Hough,-0.710,
n00034,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00034.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00034_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00034_poly.jpg,86,4,Hough,-2.394,
n00035,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00035.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00035_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00035_poly.jpg,86,4,Hough,1.700,
n00036,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00036.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00036_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00036_poly.jpg,86,4,Hough,0.000,
n00037,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00037.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00037_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00037_poly.jpg,86,4,Hough,-0.363,
n00038,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00038.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00038_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00038_poly.jpg,86,4,Hough,-0.857,
