epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13969.5,0.64393,1.01628,2.2377,0.99605,0.9985,0.99368,0.93522,0.37001,0.32757,1.88501,0.00332899,0.00332899,0.00332899
2,28293.8,0.54722,0.40976,1.94267,0.99571,0.9997,0.99326,0.94263,0.39742,0.3384,1.81471,0.00665573,0.00665573,0.00665573
